ts_utc,hotel,checkin,room,price,currency,cancelable,meal,n_plans
2026-09-23 06:22:00,VR Queen Street Auckland,2026-09-26,1 King Bed,300,USD,True,Room Only,51
2026-09-23 06:22:00,VR Queen Street Auckland,2026-10-03,1 King Bed with Balcony,295,USD,True,Room Only,38
2026-09-23 06:22:00,VR Queen Street Auckland,2026-10-06,King Room With Marina View,509,USD,True,Room Only,41
2026-09-23 06:22:00,VR Queen Street Auckland,2026-10-13,Twin Room,313,USD,False,Room Only,71
2026-09-23 06:22:00,VR Auckland City,2026-09-26,Studio Apartment,106,USD,False,Room Only,7
2026-09-23 06:22:00,VR Auckland City,2026-10-03,Studio Apartment,83,USD,False,Room Only,24
2026-09-23 06:22:00,VR Auckland City,2026-10-06,Studio Apartment,70,USD,False,Room Only,31
2026-09-23 06:22:00,VR Auckland City,2026-10-13,Studio Apartment,58,USD,False,Room Only,31
2026-09-23 06:22:00,Shakespeare Hotel Auckland,2026-09-26,Double Room,230,USD,False,Room Only,16
2026-09-23 06:22:00,Shakespeare Hotel Auckland,2026-10-03,Triple Room,291,USD,False,Room Only,49
2026-09-23 06:22:00,Shakespeare Hotel Auckland,2026-10-06,Triple Room,164,USD,False,Room Only,62
2026-09-23 06:22:00,Shakespeare Hotel Auckland,2026-10-13,Triple Room,181,USD,False,Room Only,82
2026-09-23 06:22:00,Auckland City Hotel,2026-09-26,Standard Twin Room,65,USD,False,Room Only,55
2026-09-23 06:22:00,Auckland City Hotel,2026-10-03,Standard Twin Room,89,USD,False,Room Only,35
2026-09-23 06:22:00,Auckland City Hotel,2026-10-06,Standard Twin Room,68,USD,False,Room Only,102
2026-09-23 06:22:00,Auckland City Hotel,2026-10-13,Standard Twin Room,61,USD,False,Room Only,97
2026-09-23 06:22:00,ibis budget Auckland Central,2026-09-26,Double Studio,58,USD,False,Room Only,32
2026-09-23 06:22:00,ibis budget Auckland Central,2026-10-03,Double Studio,72,USD,False,Room Only,34
2026-09-23 06:22:00,ibis budget Auckland Central,2026-10-06,Double Studio,55,USD,False,Room Only,34
2026-09-23 06:22:00,ibis budget Auckland Central,2026-10-13,Double Studio,58,USD,False,Room Only,32
2026-09-23 06:22:00,The Quadrant Hotel & Suites Auckland,2026-09-26,Classic One Bedroom Apartment,106,USD,False,Room Only,20
2026-09-23 06:22:00,The Quadrant Hotel & Suites Auckland,2026-10-03,Deluxe Queen Studio,78,USD,False,Room Only,36
2026-09-23 06:22:00,The Quadrant Hotel & Suites Auckland,2026-10-06,Deluxe Queen Studio,60,USD,False,Room Only,43
2026-09-23 06:22:00,The Quadrant Hotel & Suites Auckland,2026-10-13,Deluxe Queen Studio,58,USD,False,Room Only,67
2026-09-23 06:22:00,Copthorne Hotel Auckland City,2026-09-26,"Superior Room, 1 King Bed",82,USD,True,Room Only,20
2026-09-23 06:22:00,Copthorne Hotel Auckland City,2026-10-03,"Superior Room, 1 King Bed",84,USD,False,Room Only,61
2026-09-23 06:22:00,Copthorne Hotel Auckland City,2026-10-06,"Superior Room, 1 King Bed",63,USD,False,Room Only,64
2026-09-23 06:22:00,Copthorne Hotel Auckland City,2026-10-13,"Superior Room, 2 Double Beds",56,USD,False,Room Only,24
2026-09-23 06:22:00,Albion Hotel Auckland,2026-09-26,Standard Double Room,61,USD,False,Room Only,10
2026-09-23 06:22:00,Albion Hotel Auckland,2026-10-03,Standard Double Room,80,USD,False,Room Only,25
2026-09-23 06:22:00,Albion Hotel Auckland,2026-10-06,Standard Double Room,48,USD,False,Room Only,26
2026-09-23 06:22:00,Albion Hotel Auckland,2026-10-13,Standard Double Room,48,USD,False,Room Only,26
2026-09-23 06:22:00,Ascotia Off Queen Auckland,2026-09-26,Queen Room,72,USD,False,Room Only,36
2026-09-23 06:22:00,Ascotia Off Queen Auckland,2026-10-03,Standard King Room,67,USD,True,Room Only,43
2026-09-23 06:22:00,Ascotia Off Queen Auckland,2026-10-06,Standard King Room,47,USD,True,Room Only,46
2026-09-23 06:22:00,Ascotia Off Queen Auckland,2026-10-13,Queen Room,58,USD,True,Room Only,50
2026-09-23 06:22:00,Abstract Hotel,2026-09-26,Accessible Studio,72,USD,False,Room Only,79
2026-09-23 06:22:00,Abstract Hotel,2026-10-03,Cozy Studio,85,USD,False,Room Only,90
2026-09-23 06:22:00,Abstract Hotel,2026-10-06,Cozy Studio,61,USD,False,Room Only,95
2026-09-23 06:22:00,Abstract Hotel,2026-10-13,Cozy Studio,61,USD,False,Room Only,87
2026-09-23 06:22:00,Edit Auckland Central,2026-09-26,STUDIO Corporate King,81,USD,False,Room Only,67
2026-09-23 06:22:00,Edit Auckland Central,2026-10-03,STUDIO Snug,73,USD,False,Room Only,107
2026-09-23 06:22:00,Edit Auckland Central,2026-10-06,STUDIO Snug,54,USD,False,Room Only,105
2026-09-23 06:22:00,Edit Auckland Central,2026-10-13,STUDIO Snug,54,USD,False,Room Only,93
