ts_utc,hotel,checkin,room,price,currency,cancelable,meal,n_plans
2026-09-23 12:22:00,VR Queen Street Auckland,2026-09-26,1 King Bed,299,USD,False,Room Only,48
2026-09-23 12:22:00,VR Queen Street Auckland,2026-10-03,1 King Bed with Balcony,296,USD,True,Room Only,55
2026-09-23 12:22:00,VR Queen Street Auckland,2026-10-06,"Room, 1 King Bed, Marina View",500,USD,True,Room Only,43
2026-09-23 12:22:00,VR Queen Street Auckland,2026-10-13,Twin Room,313,USD,False,Room Only,73
2026-09-23 12:22:00,VR Auckland City,2026-09-26,Studio Apartment,106,USD,False,Room Only,7
2026-09-23 12:22:00,VR Auckland City,2026-10-03,Studio Apartment,83,USD,False,Room Only,26
2026-09-23 12:22:00,VR Auckland City,2026-10-06,Studio Apartment,70,USD,False,Room Only,30
2026-09-23 12:22:00,VR Auckland City,2026-10-13,Studio Apartment,58,USD,False,Room Only,31
2026-09-23 12:22:00,Shakespeare Hotel Auckland,2026-09-26,Double Room,230,USD,False,Room Only,12
2026-09-23 12:22:00,Shakespeare Hotel Auckland,2026-10-03,Triple Room,291,USD,False,Room Only,51
2026-09-23 12:22:00,Shakespeare Hotel Auckland,2026-10-06,Triple Room,164,USD,False,Room Only,60
2026-09-23 12:22:00,Shakespeare Hotel Auckland,2026-10-13,Triple Room,181,USD,False,Room Only,72
2026-09-23 12:22:00,Auckland City Hotel,2026-09-26,Standard Twin Room,65,USD,False,Room Only,39
2026-09-23 12:22:00,Auckland City Hotel,2026-10-03,Standard Twin Room,62,USD,False,Room Only,33
2026-09-23 12:22:00,Auckland City Hotel,2026-10-06,Standard Twin Room,68,USD,False,Room Only,92
2026-09-23 12:22:00,Auckland City Hotel,2026-10-13,Standard Twin Room,61,USD,False,Room Only,94
2026-09-23 12:22:00,ibis budget Auckland Central,2026-09-26,Double Studio,58,USD,False,Room Only,22
2026-09-23 12:22:00,ibis budget Auckland Central,2026-10-03,Double Studio,72,USD,False,Room Only,34
2026-09-23 12:22:00,ibis budget Auckland Central,2026-10-06,Double Studio,55,USD,False,Room Only,34
2026-09-23 12:22:00,ibis budget Auckland Central,2026-10-13,Double Studio,58,USD,False,Room Only,32
2026-09-23 12:22:00,The Quadrant Hotel & Suites Auckland,2026-09-26,Classic One Bedroom Apartment,106,USD,False,Room Only,17
2026-09-23 12:22:00,The Quadrant Hotel & Suites Auckland,2026-10-03,Deluxe Queen Studio,78,USD,False,Room Only,37
2026-09-23 12:22:00,The Quadrant Hotel & Suites Auckland,2026-10-06,Deluxe Queen Studio,60,USD,False,Room Only,40
2026-09-23 12:22:00,The Quadrant Hotel & Suites Auckland,2026-10-13,Deluxe Queen Studio,58,USD,False,Room Only,54
2026-09-23 12:22:00,Copthorne Hotel Auckland City,2026-09-26,"Superior Room, 1 King Bed",82,USD,True,Room Only,12
2026-09-23 12:22:00,Copthorne Hotel Auckland City,2026-10-03,"Superior Room, 1 King Bed",84,USD,False,Room Only,64
2026-09-23 12:22:00,Copthorne Hotel Auckland City,2026-10-06,"Superior Room, 1 King Bed",63,USD,False,Room Only,64
2026-09-23 12:22:00,Copthorne Hotel Auckland City,2026-10-13,"Superior Room, 2 Double Beds",57,USD,False,Room Only,32
2026-09-23 12:22:00,Albion Hotel Auckland,2026-09-26,Standard Double Room,61,USD,False,Room Only,8
2026-09-23 12:22:00,Albion Hotel Auckland,2026-10-03,Triple Studio,72,USD,False,Room Only,26
2026-09-23 12:22:00,Albion Hotel Auckland,2026-10-06,Standard Double Room,48,USD,False,Room Only,26
2026-09-23 12:22:00,Albion Hotel Auckland,2026-10-13,Standard Double Room,48,USD,False,Room Only,26
2026-09-23 12:22:00,Ascotia Off Queen Auckland,2026-09-26,Queen Room,72,USD,False,Room Only,28
2026-09-23 12:22:00,Ascotia Off Queen Auckland,2026-10-03,Standard King Room,67,USD,True,Room Only,39
2026-09-23 12:22:00,Ascotia Off Queen Auckland,2026-10-06,Twin Room,47,USD,True,Room Only,45
2026-09-23 12:22:00,Ascotia Off Queen Auckland,2026-10-13,Queen Room,58,USD,True,Room Only,54
2026-09-23 12:22:00,Abstract Hotel,2026-09-26,Accessible Studio,78,USD,False,Room Only,73
2026-09-23 12:22:00,Abstract Hotel,2026-10-03,Cozy Studio,85,USD,False,Room Only,87
2026-09-23 12:22:00,Abstract Hotel,2026-10-06,Cozy Studio,61,USD,False,Room Only,100
2026-09-23 12:22:00,Abstract Hotel,2026-10-13,Cozy Studio,61,USD,False,Room Only,91
2026-09-23 12:22:00,Edit Auckland Central,2026-09-26,STUDIO Corporate King,81,USD,False,Room Only,89
2026-09-23 12:22:00,Edit Auckland Central,2026-10-03,STUDIO Snug,73,USD,False,Room Only,110
2026-09-23 12:22:00,Edit Auckland Central,2026-10-06,STUDIO Snug,54,USD,False,Room Only,117
2026-09-23 12:22:00,Edit Auckland Central,2026-10-13,STUDIO Snug,54,USD,False,Room Only,102
