ts_utc,hotel,checkin,room,price,currency,cancelable,meal,n_plans
2026-09-17 15:54:49,VR Queen Street Auckland,2026-09-26,Standard King Room,70,USD,False,Room Only,51
2026-09-17 15:54:49,VR Queen Street Auckland,2026-10-06,Compact Single Room,44,USD,False,Room Only,65
2026-09-17 15:54:49,VR Auckland City,2026-09-26,Studio Apartment,91,USD,True,Room Only,28
2026-09-17 15:54:49,VR Auckland City,2026-10-06,Studio Apartment,65,USD,True,Room Only,27
2026-09-17 15:54:49,Shakespeare Hotel Auckland,2026-09-26,Triple Room,297,USD,False,Room Only,95
2026-09-17 15:54:49,Shakespeare Hotel Auckland,2026-10-06,Superior Twin Room,152,USD,False,Room Only,72
2026-09-17 15:54:49,Auckland City Hotel,2026-09-26,Standard Twin Room,65,USD,False,Room Only,60
2026-09-17 15:54:49,Auckland City Hotel,2026-10-06,Standard Queen Room,68,USD,False,Room Only,109
2026-09-17 15:54:49,ibis budget Auckland Central,2026-09-26,Double Studio,62,USD,False,Room Only,22
2026-09-17 15:54:49,ibis budget Auckland Central,2026-10-06,Double Studio,49,USD,False,Room Only,32
2026-09-17 15:54:49,The Quadrant Hotel & Suites Auckland,2026-09-26,Deluxe Queen Studio,63,USD,False,Room Only,27
2026-09-17 15:54:49,The Quadrant Hotel & Suites Auckland,2026-10-06,Classic One Bedroom Apartment,58,USD,False,Room Only,28
2026-09-17 15:54:49,Copthorne Hotel Auckland City,2026-09-26,"Superior Room, 1 King Bed",98,USD,True,Room Only,16
2026-09-17 15:54:49,Copthorne Hotel Auckland City,2026-10-06,"Superior Room, 1 King Bed",63,USD,False,Room Only,64
2026-09-17 15:54:49,Albion Hotel Auckland,2026-10-06,Petite Room,81,USD,True,Room Only,50
2026-09-17 15:54:49,Ascotia Off Queen Auckland,2026-09-26,Queen Room,72,USD,True,Room Only,26
2026-09-17 15:54:49,Ascotia Off Queen Auckland,2026-10-06,Queen Room,49,USD,True,Room Only,48
2026-09-17 15:54:49,Abstract Hotel,2026-09-26,Accessible Studio,56,USD,False,Room Only,92
2026-09-17 15:54:49,Abstract Hotel,2026-10-06,Cozy Studio,49,USD,False,Room Only,96
2026-09-17 15:54:49,Edit Auckland Central,2026-09-26,STUDIO Snug,73,USD,False,Room Only,88
2026-09-17 15:54:49,Edit Auckland Central,2026-10-06,STUDIO Snug,53,USD,False,Room Only,110
